# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	2087
#@/user_id	eb2c6107-ebb4-4c05-bd07-3d45f5d9a1d5
a 	啊	c=2 d=1.94649 t=2087
a bao 	阿寶	c=0 d=0.0995012 t=2087
a bao cheng du 	阿寶程度	c=1 d=1 t=2087
ai 	愛	c=0 d=0.088692 t=2087
ai ni 	愛你	c=0 d=0.0843665 t=2087
an 	按	c=2 d=0.746659 t=2087
an li 	按理	c=0 d=0.097531 t=2087
an li lai shuo 	按理來說	c=1 d=0.980199 t=2087
an niu 	按鈕	c=15 d=5.21269 t=2087
an niu chi cun 	按鈕尺寸	c=1 d=0.597501 t=2087
an niu shang 	按鈕上	c=1 d=0.404542 t=2087
an se 	暗色	c=5 d=2.7456 t=2087
an xia 	按下	c=2 d=1.87451 t=2087
an zhao 	按照	c=2 d=0.650509 t=2087
an zhuang 	安裝	c=3 d=2.82097 t=2087
bai se 	白色	c=1 d=0.782705 t=2087
bang ding 	綁定	c=3 d=2.75028 t=2087
bao cuo 	報錯	c=1 d=0.900325 t=2087
bao han 	包含	c=1 d=0.67368 t=2087
bao hu 	保護	c=1 d=0.995012 t=2087
bao kuo 	包括	c=2 d=0.965605 t=2087
bao liu 	保留	c=4 d=1.87653 t=2087
bao liu zhe 	保留着	c=1 d=0.421052 t=2087
bao zheng 	保證	c=1 d=0.980199 t=2087
bei jing 	北京	c=1 d=0.582748 t=2087
bei jing 	背景	c=1 d=0.585669 t=2087
bi 	比	c=1 d=0.860708 t=2087
bi ru 	比如	c=1 d=0.477114 t=2087
bi zhi 	壁紙	c=1 d=1.09451 t=2087
bian cheng 	編程	c=1 d=1 t=2087
bian jie 	邊界	c=4 d=2.0069 t=2087
bian kuang 	邊框	c=2 d=0.92182 t=2087
bian le 	變了	c=1 d=0.955997 t=2087
bian li 	遍歷	c=1 d=0.261846 t=2087
bian wei 	變爲	c=1 d=0.726149 t=2087
bian xie 	編寫	c=2 d=1.83047 t=2087
bian xie yi ge 	編寫一個	c=1 d=0.955997 t=2087
bian yuan 	邊緣	c=1 d=0.465334 t=2087
biao ge 	表格	c=1 d=0.460704 t=2087
biao ji 	標記	c=1 d=1.0191 t=2087
biao ji wei 	標記爲	c=1 d=0.729789 t=2087
biao qian 	標籤	c=1 d=0.814647 t=2087
biao shi 	表示	c=2 d=0.821406 t=2087
biao shi shen me 	表示什麼	c=1 d=1 t=2087
bing 	並	c=8 d=2.00174 t=2087
bing ke yi 	並可以	c=1 d=0.860708 t=2087
bing qie 	並且	c=3 d=1.32648 t=2087
bing shi yong 	並使用	c=1 d=0.923116 t=2087
bing xiu fu 	並修復	c=2 d=0.909631 t=2087
bing you 	並有	c=1 d=0.895834 t=2087
bo fang 	播放	c=1 d=0.980199 t=2087
bu 	不	c=0 d=0.120492 t=2087
bu chang yong 	不常用	c=1 d=0.416862 t=2087
bu fen 	部分	c=2 d=1.09424 t=2087
bu gai bian 	不改變	c=1 d=0.946485 t=2087
bu ju 	佈局	c=10 d=2.25507 t=2087
bu neng 	不能	c=3 d=1.80063 t=2087
bu she zhi 	不設置	c=1 d=0.985112 t=2087
bu shi shuo 	不是說	c=1 d=0.927743 t=2087
bu tong 	不同	c=2 d=0.839457 t=2087
bu xing 	不行	c=1 d=1 t=2087
bu yao 	不要	c=3 d=1.31801 t=2087
bu yong 	不用	c=0 d=0.0980199 t=2087
bu yong gai 	不用該	c=1 d=0.985112 t=2087
bu zhi 	不止	c=1 d=0.826959 t=2087
bu zu 	不足	c=2 d=0.988177 t=2087
cai 	才	c=1 d=0.364219 t=2087
cai hui 	纔會	c=3 d=1.66465 t=2087
cai neng 	才能	c=1 d=1 t=2087
cai niao 	菜鳥	c=1 d=0.571209 t=2087
cai se 	彩色	c=1 d=1 t=2087
can kao 	參考	c=3 d=1.29956 t=2087
can shu 	參數	c=6 d=1.26058 t=2087
cao zuo 	操作	c=3 d=1.76181 t=2087
ce 	測	c=0 d=0.0985112 t=2087
ce mian 	側面	c=1 d=0.355226 t=2087
ce shi 	測試	c=7 d=2.79263 t=2087
ce su 	測速	c=0 d=0.0995012 t=2087
ce su wang 	測速網	c=1 d=1 t=2087
cha kan 	查看	c=2 d=1.00849 t=2087
cha xun 	查詢	c=4 d=3.09215 t=2087
cha xun dao 	查詢到	c=1 d=0.909373 t=2087
cha yong 	差用	c=1 d=0.410656 t=2087
cha zhao 	查找	c=3 d=1.4719 t=2087
chang 	長	c=1 d=0.66034 t=2087
chang du 	長度	c=2 d=1.11215 t=2087
chang yong 	常用	c=3 d=0.904837 t=2087
chao chu 	超出	c=0 d=0.0666977 t=2087
chao chu chang du 	超出長度	c=1 d=0.67032 t=2087
cheng 	成	c=3 d=1.04181 t=2087
cheng du 	程度	c=0 d=0.0995012 t=2087
cheng gong 	成功	c=1 d=0.99005 t=2087
cheng wei 	稱爲	c=2 d=1.33096 t=2087
chi cun 	尺寸	c=0 d=0.0594521 t=2087
chong 	充	c=1 d=0.286505 t=2087
chong fen 	充分	c=0 d=0.0932394 t=2087
chong he 	重合	c=1 d=0.458406 t=2087
chong shi 	重試	c=1 d=0.955997 t=2087
chong xin 	重新	c=6 d=3.92391 t=2087
chu 	出	c=1 d=0.985112 t=2087
chu 	處	c=1 d=0.427415 t=2087
chu shi 	初始	c=3 d=2.16662 t=2087
chu shi hua 	初始化	c=19 d=9.69903 t=2087
chu xian 	出現	c=3 d=1.88014 t=2087
chu xian wen ti 	出現問題	c=1 d=0.677057 t=2087
chuang ji 	牀記	c=1 d=0.748264 t=2087
chuang jian 	創建	c=10 d=5.07247 t=2087
chuang jian gong neng 	創建功能	c=1 d=0.752014 t=2087
chuang kou 	窗口	c=4 d=3.2398 t=2087
